id	url	page
239e58d2fb3d310da569390ae73a5ab3	https://www.government.se/press-releases/2023/02/government-taking-strong-action-against-disinformation-and-rumour-spreading-campaign/	4
20588cee2dca30b09215dacf007ae8b6	https://www.government.se/press-releases/2023/02/proposal-participation-in-a-terrorist-organisation-to-be-a-punishable-offence/	4
2c57cca4979837d58dc959f03be55c1d	https://www.government.se/press-releases/2023/01/eu-external-democracy-action-in-focus-as-state-secretary-diana-janse-attends-report-launch-in-brussels/	4
c233d36a35bc32f7854072cbbb8f8905	https://www.government.se/press-releases/2023/01/prime-minister-ulf-kristersson-to-welcome-finnish-prime-minister-sanna-marin/	4
9ade01bba15a3fc28e44be7baa844878	https://www.government.se/press-releases/2023/01/temporary-travel-restrictions-for-travellers-from-china-extended/	4
fb1957dabcde324aa07a3c3c6b93bda8	https://www.government.se/press-releases/2023/01/government-contributes-to-improved-nuclear-safety-in-ukraine/	4
ba0c0ee6c1113e91a3cdf4b648947613	https://www.government.se/press-releases/2023/01/jha-first-informal-ministerial-meeting-in-sweden-of-presidency-of-the-council-of-the-eu/	4
404d6189264536598a03d2958d0a80df	https://www.government.se/press-releases/2023/01/swedish-higher-education-authority-to-conduct-case-studies-on-academic-freedom/	4
56c9cd0ca0e33af195fd22f7beaf1328	https://www.government.se/press-releases/2023/01/the-government-presents-the-swedish-presidency-at-the-european-parliament-in-brussels/	4
6dccd32fbe6733f493847e62829851a3	https://www.government.se/press-releases/2023/01/sweden-and-finland-cooperate-on-additional-support-package-for-ukraine/	4
f6a753596f68396c964b7dc00f8641f8	https://www.government.se/press-releases/2023/01/action-against-terrorist-material-online/	4
cc13ba162e5a3450a36b7c50fe76fc9e	https://www.government.se/press-releases/2023/01/winner-of-the-gollegiella-nordic-sami-language-prize/	4
828fb61c5753306e8c19a4d8b0b02805	https://www.government.se/press-releases/2023/01/the-swedish-minister-for-eu-affairs-jessika-roswall-to-travel-to-strasbourg/	4
09cfc5b793073a5299be50a9029f2007	https://www.government.se/press-releases/2023/01/the-swedish-prime-minister-ulf-kristersson-to-travel-strasbourg/	4
20e175d008a3302ca4f6b802b8b21271	https://www.government.se/press-releases/2023/01/prime-minister-ulf-kristersson-to-receive-president-of-the-european-council-charles-michel/	4
4290bc0f28673a93a47b12728dd661ce	https://www.government.se/press-releases/2023/01/sweden-introduces-temporary-entry-restrictions-on-travel-from-china/	4
6ad9a3dbbab631bc9d5292491e50c12d	https://www.government.se/press-releases/2023/01/sweden-prepares-to-introduce-travel-restrictions-requiring-a-negative-covid-19-test-for-entry-to-sweden-from-china/	4
