Men Don't Leave;66;No
Pepi Luci Bom;66;No
About Last Night;66;No
Going Places;66;No
Fabulous Baker Boys, The;66;No
Dreams Lost, Dreams Found;66;No
On Her Majesty's Secret Service;66;No
Baby Face;66;No
Devil's Wanton, The;66;No
Dogfight;66;No
Law of the Lash;66;No
Prize, The;66;No
In Harm's Way;66;No
Life & Times of Judge Roy Bean, The;65;No
Fast Times at Ridgemont High;65;No
Tomorrow Is Forever;65;No
Blue Iguana, The;65;No
Loulou;65;No
Streets of Fire;65;No
National Enquirer, The Untold Story;65;No
Women on the Verge of a Nervous Breakdown;65;No
How to Marry a Millionaire;65;No
To Joy;65;No
Manxman, The;65;No
Mackintosh Man, The;65;No
All the Right Moves;65;No
Going Ape;65;No
Bad Sleep Well, The;65;No
Willy Wonka & the Chocolate Factory;65;No
Back to the Future II;65;No
Devil's Disciple, The;65;No
Howie Mandel's North American Watusi Tour;65;No
Through a Glass Darkly;64;Yes
Coma;64;No
Blind Man's Bluff;64;No
Norma Rae;64;Yes
Susan Lennox, Her Fall & Rise;64;No
Brannigan;64;No
Rio Grande;64;No
Grease II;64;No
Trip, The;64;No
Sophie's Choice;64;Yes
Doc Hollywood;64;No
One Woman or Two;64;No
Major League;64;No
Sheltering Sky, The;64;No
Firefox;64;No
Apprenticeship of Duddy Kravitz, The;64;Yes
Dreamscape;63;No
Is Paris Burning?;63;No
Ugly American, The;63;No
Running Mates;63;No
Carlton-Browne of the F.O.;63;No
Postcards from the Edge;63;No
Madonna, Like a Virgin;63;No
Boy in Blue, The;63;No
I Confess;63;No
Next of Kin;63;No
Juggernaut;63;No
My Blue Heaven;63;No
Gosta Berling's Saga;63;No
Monty Python's Flying Circus, Vol 3.;63;No
Donovan's Reef;62;No
Seventh Seal, The;62;No
Goalie's Anxiety at the Penalty Kick, The;62;No
John Cleese on How to Irritate People;62;No
Inauguration of the Pleasure Dome;62;No
Looker;62;No
Cat Ballou;62;Yes
Romance;62;No
Mama's Dirty Girls;62;No
Last Ride of the Dalton Gang, The;62;No
Adam's Rib;62;No
Virus;62;No
Arrogant, The;62;No
Whose Life Is It, Anyway?;62;No
Everybody's All American;62;No
Fall of the Roman Empire, The;62;No
Audrey Rose;62;No
Smith!;62;No
Trip to Bountiful, The;62;Yes
Into the Night;62;No
Live & Let Die;62;No
Last Picture Show, The;62;Yes
Rumor Mill, The;62;No
Peggy Sue Got Married;62;No
Start the Revolution Without Me;62;No
Tentacles;62;No
Ffolkes;62;No
Outlaw Country;62;No
Fatal Attraction;61;No
Storm;61;No
Gremlins 2: The New Batch;61;No
Foreign Correspondent;61;No
Crazy People;61;No
Tender Mercies;61;Yes
Private Benjamin;61;No
Hawk of Powder River;61;No
Freaks;61;No
Heartbreak Ridge;61;No
One Crazy Summer;61;No
Back in the U.S.S.R.;61;No
Death Becomes Her;61;No
